timeSec,value
2.0833,0.059019
2.0917,0.061541
2.1,0.09983
2.1083,0.128076
2.1167,0.129939
2.125,0.155301
2.1333,0.170135
2.1417,0.20008
2.15,0.195732
2.1583,0.205181
2.1667,0.166817
2.175,0.173007
2.1833,0.122796
2.1917,0.119344
2.2,0.095345
2.2083,0.087133
2.2167,0.045669
2.225,0.030026
2.2333,0.036452
2.2417,0.013593
2.25,0.001925
2.2583,0.012998
2.2667,0.009341
2.275,0.03004
2.2833,0.021119
2.2917,-0.007634
2.3,0.000594
2.3083,0.011304
2.3167,0.00421
2.325,-0.005022
2.3333,-0.001933
2.3417,0.014736
2.35,0.000316
2.3583,0.013294
2.3667,0.018636
2.375,0.029148
2.3833,0.002089
2.3917,0.009126
2.4,0.026011
2.4083,0.012452
2.4167,0.003279
2.425,0.010108
2.4333,0.008369
2.4417,0.007644
2.45,0.023924
2.4583,0.020496
2.4667,0.009812
2.475,0.001794
2.4833,-0.005311
2.4917,0.022674
2.5,0.027811
2.5083,0.004688
2.5167,0.010835
2.525,0.02216
2.5333,0.031618
2.5417,0.008607
2.55,0.030896
2.5583,0.019057
2.5667,0.023417
2.575,0.013443
2.5833,0.039487
2.5917,0.036815
2.6,0.061977
2.6083,0.071732
2.6167,0.074895
2.625,0.087325
2.6333,0.079923
2.6417,0.109112
2.65,0.059173
2.6583,0.066156
2.6667,0.039463
2.675,0.035402
2.6833,0.010785
2.6917,0.007449
2.7,0.021894
2.7083,0.022123
2.7167,0.020561
2.725,0.014608
2.7333,0.003615
2.7417,-0.007821
2.75,-0.11351
2.7583,-0.14352
2.7667,0.154119
2.775,0.678583
2.7833,0.917992
2.7917,0.673804
2.8,0.303302
2.8083,0.062688
2.8167,0.035646
2.825,-0.004642
2.8333,0.031844
2.8417,0.00605
2.85,0.003467
2.8583,0.024047
2.8667,0.011166
2.875,0.026074
2.8833,0.027448
2.8917,0.040291
2.9,0.046679
2.9083,0.040825
2.9167,0.040973
2.925,0.080621
2.9333,0.089373
2.9417,0.101334
2.95,0.123107
2.9583,0.159194
2.9667,0.178058
2.975,0.189039
2.9833,0.178744
2.9917,0.210931
