timeSec,value
2.8917,0.014004
2.9,0.013207
2.9083,-0.002808
2.9167,-0.016257
2.925,0.006229
2.9333,-0.005367
2.9417,-0.01593
2.95,-0.017202
2.9583,-0.00251
2.9667,-0.000959
2.975,-0.000817
2.9833,-0.013397
2.9917,0.026638
